upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0AB77,171.72,2296.57,1560.24,145.68,131.06,112.84,107.75,121.50,103.17,76.16,67.06,63.67,105.18,97.77,161.45,125.54,200.05,180.15,114.71,86.69,126.19,144.00
P0A6K6,1012.23,5976.67,1676.23,1326.77,1371.24,1232.47,1185.83,1026.74,1327.07,1410.35,1431.26,1431.56,3187.30,3479.16,2338.66,2058.03,2907.48,1428.28,1377.22,1717.69,1259.16,1215.49
P21599,1902.16,3342.92,2848.18,1421.26,1794.40,2501.35,2282.30,2180.64,1974.52,1918.27,1766.76,1591.81,1002.84,1063.48,1309.82,2310.75,1739.85,1864.29,2104.94,1973.60,1821.47,2177.74
P0A858,7438.31,7526.73,9703.85,7717.22,7757.67,7387.20,7456.27,6821.55,9314.44,7054.68,6336.06,5725.63,6877.61,8368.86,13298.75,8159.43,15012.45,9808.09,6227.39,7398.66,6249.54,9342.24
P31120,1087.45,2582.38,1866.91,728.62,1004.66,1241.17,1104.16,1114.65,1443.33,1252.99,1193.70,1132.16,971.36,891.12,1115.52,1604.35,1353.92,1319.42,1195.99,931.24,951.60,1431.97
P69797,2290.54,2889.91,1963.33,1954.38,1912.83,6248.44,2822.65,1065.63,12028.82,8450.72,5642.40,3095.26,2021.18,1766.15,1455.02,2223.53,2054.77,2525.03,3850.15,1563.76,1778.33,4613.06
P69441,5282.99,8199.19,4815.68,4032.46,4676.44,3783.07,3674.61,5147.89,3156.67,3108.14,2560.16,2264.60,2499.10,2701.09,6827.27,4717.31,5233.62,4643.25,4013.06,2832.82,5877.87,4457.18
P0AB91,6678.31,1722.46,3319.00,2753.65,2806.22,4159.20,3615.52,2625.09,4896.72,2661.95,2033.87,1666.42,4567.97,4500.79,9995.92,6425.85,10773.51,7571.62,3340.18,3177.41,3620.85,6779.58
P21170,1294.77,1661.48,1896.94,636.80,824.34,890.51,1104.91,984.70,903.16,667.45,664.81,580.97,311.29,364.87,579.10,831.12,1059.07,875.83,818.01,741.73,721.52,1102.87
P0AEZ1,4385.38,852.61,649.82,2229.34,2024.65,2399.50,3360.49,1937.02,2464.83,1305.27,1241.67,924.21,1060.01,857.38,3127.77,3764.05,4740.67,3745.03,2694.31,2159.95,2316.68,4254.53
P39346,273.62,381.65,NA,128.55,143.54,8005.51,185.38,171.07,152.93,150.46,137.87,142.55,115.73,67.82,240.87,228.95,203.29,NA,NA,101.99,101.87,NA
P25526,718.45,1257.75,1768.70,1073.91,1145.57,1464.26,1132.32,1377.44,1564.75,1684.91,1622.42,1969.48,712.16,797.29,890.17,699.80,835.52,1014.19,1748.25,1320.31,919.08,877.33
P00393,662.48,1172.47,772.79,235.65,304.13,436.69,443.88,560.87,653.91,331.47,334.02,358.89,702.79,797.62,935.25,1152.70,884.63,1495.27,363.99,365.09,411.55,1131.51
P45464,489.56,756.80,686.54,305.74,430.44,463.24,482.91,481.69,397.08,344.42,312.59,264.94,229.24,207.38,487.67,395.31,465.30,395.29,402.73,340.22,444.62,450.80
P77243,93.39,181.21,126.11,119.99,590.23,240.30,71.36,90.60,90.53,1892.81,2187.97,1527.68,76.13,84.53,103.10,128.07,107.44,142.75,147.78,886.69,170.92,145.67
P76578,28.83,60.42,48.66,53.36,56.58,57.20,48.71,60.37,66.02,67.30,64.60,77.98,37.44,42.61,27.57,25.16,32.00,40.78,49.04,31.86,42.22,36.29
P0ABT2,4697.59,10434.60,5517.36,9276.98,6789.88,9013.66,6461.84,4169.80,4273.00,5030.88,5467.32,5146.91,78517.37,70522.01,3548.12,4646.81,21474.49,2608.23,6774.56,4164.50,4473.65,4999.19
